"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new franchise with valid data","2941","CreateFranchise - all valid fields","API_Regression_Suite","Thu Oct 23 08:59:39 UTC 2025","passed","Thu Oct 23 08:59:42 UTC 2025","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","CreateFranchise"
"","439","GetFranchiseList - status is SQL injection","API_Regression_Suite","Thu Oct 23 09:00:22 UTC 2025","passed","Thu Oct 23 09:00:22 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","550","GetFranchiseList - country is one character","API_Regression_Suite","Thu Oct 23 09:00:15 UTC 2025","passed","Thu Oct 23 09:00:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","542","GetFranchiseList - page_size is float","API_Regression_Suite","Thu Oct 23 09:00:05 UTC 2025","passed","Thu Oct 23 09:00:06 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","442","GetFranchiseList - status is null","API_Regression_Suite","Thu Oct 23 09:00:17 UTC 2025","passed","Thu Oct 23 09:00:18 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","523","GetFranchiseList - page_size is boolean true","API_Regression_Suite","Thu Oct 23 09:00:07 UTC 2025","failed","Thu Oct 23 09:00:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","440","GetFranchiseList - page_size valid, country valid, status invalid enum","API_Regression_Suite","Thu Oct 23 09:00:25 UTC 2025","passed","Thu Oct 23 09:00:25 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","538","GetFranchiseList - country is longer than 2 chars","API_Regression_Suite","Thu Oct 23 09:00:14 UTC 2025","passed","Thu Oct 23 09:00:15 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","549","GetFranchiseList - page_size is array","API_Regression_Suite","Thu Oct 23 09:00:10 UTC 2025","failed","Thu Oct 23 09:00:11 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","440","GetFranchiseList - status is number","API_Regression_Suite","Thu Oct 23 09:00:17 UTC 2025","passed","Thu Oct 23 09:00:17 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","530","GetFranchiseList - country is special characters","API_Regression_Suite","Thu Oct 23 09:00:14 UTC 2025","passed","Thu Oct 23 09:00:14 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","439","GetFranchiseList - all params as empty string","API_Regression_Suite","Thu Oct 23 09:00:23 UTC 2025","passed","Thu Oct 23 09:00:23 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","476","GetFranchiseList - status is special characters","API_Regression_Suite","Thu Oct 23 09:00:19 UTC 2025","passed","Thu Oct 23 09:00:19 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","521","GetFranchiseList - country is numeric string","API_Regression_Suite","Thu Oct 23 09:00:16 UTC 2025","passed","Thu Oct 23 09:00:16 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","549","GetFranchiseList - page_size is special characters","API_Regression_Suite","Thu Oct 23 09:00:08 UTC 2025","failed","Thu Oct 23 09:00:09 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","508","GetFranchiseList - page_size is zero","API_Regression_Suite","Thu Oct 23 09:00:06 UTC 2025","failed","Thu Oct 23 09:00:07 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","524","GetFranchiseList - country is null","API_Regression_Suite","Thu Oct 23 09:00:12 UTC 2025","passed","Thu Oct 23 09:00:13 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","549","GetFranchiseByID","API_Regression_Suite","Thu Oct 23 09:00:04 UTC 2025","passed","Thu Oct 23 09:00:05 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseByID"
"","1739","GetFranchiseList - page_size is extremely large","API_Regression_Suite","Thu Oct 23 09:00:09 UTC 2025","failed","Thu Oct 23 09:00:10 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","423","GetFranchiseList - status is empty string","API_Regression_Suite","Thu Oct 23 09:00:18 UTC 2025","passed","Thu Oct 23 09:00:18 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"","463","GetFranchiseList - all params missing","API_Regression_Suite","Thu Oct 23 09:00:22 UTC 2025","passed","Thu Oct 23 09:00:23 UTC 2025","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
